[2026-01-20 12:43:50] ⚠️  DEPENDENCY CHANGE: /Users/stanchito/.claude/mcp-servers/dikrasin-ssh/package.json
[2026-01-20 12:55:03] ⚠️  DEPENDENCY CHANGE: /Users/stanchito/Dikrasin.bg/package.json
[2026-01-20 13:03:07] ⚠️  DEPENDENCY CHANGE: /Users/stanchito/Dikrasin.bg/package.json
[2026-01-20 13:10:11] ⚠️  DEPENDENCY CHANGE: /Users/stanchito/Dikrasin.bg/package.json
[2026-01-20 13:12:07] ⚠️  DEPENDENCY CHANGE: /Users/stanchito/Dikrasin.bg/package.json
[2026-01-20 13:23:54] ⚠️  DEPENDENCY CHANGE: /Users/stanchito/Dikrasin.bg/apps/web/package.json
[2026-01-20 13:24:28] ⚠️  DEPENDENCY CHANGE: /Users/stanchito/Dikrasin.bg/apps/web/package.json
[2026-01-20 13:25:06] ⚠️  DEPENDENCY CHANGE: /Users/stanchito/Dikrasin.bg/apps/web/package.json
[2026-01-20 13:43:40] ⚠️  DEPENDENCY CHANGE: apps/web/package.json
[2026-01-20 19:14:25] ⚠️  DEPENDENCY CHANGE: /Users/stanchito/Dikrasin.bg/apps/web/package.json
[2026-01-20 20:47:28] ⚠️  DEPENDENCY CHANGE: /Users/stanchito/Dikrasin.bg/apps/web/package.json
