timestamp,context_used,cache_tokens,input_tokens
2026-01-18 13:21:57,23.8%,47738,12
2026-01-18 15:58:06,16.8%,33590,12
2026-01-18 16:00:27,23.3%,46773,12
2026-01-18 16:01:09,12.8%,25666,13
2026-01-18 16:02:06,13.0%,26015,13
2026-01-18 16:03:58,30.2%,59673,781
2026-01-18 16:11:53,35.9%,71903,14
2026-01-18 16:27:00,27.2%,43860,10714
2026-01-18 16:29:01,32.0%,64086,13
2026-01-18 18:39:35,17.3%,34703,13
2026-01-18 18:53:19,18.0%,35789,406
2026-01-18 18:56:40,27.5%,54997,14
2026-01-18 18:58:21,27.5%,55026,10
2026-01-18 19:01:00,27.9%,55798,10
2026-01-18 19:04:53,18.4%,36913,13
2026-01-18 19:11:51,20.6%,41339,13
2026-01-18 19:13:08,18.1%,36374,12
2026-01-18 19:14:21,19.3%,37580,1163
2026-01-18 19:18:52,22.5%,45150,12
2026-01-18 19:21:18,17.4%,34870,12
2026-01-18 19:23:59,25.2%,50460,13
2026-01-18 19:25:20,25.0%,50076,10
2026-01-18 19:29:54,20.9%,41812,14
2026-01-18 19:35:34,41.9%,83974,12
2026-01-18 19:42:28,33.4%,66958,10
2026-01-18 19:48:07,42.3%,84721,9
2026-01-18 19:50:29,42.4%,84947,10
2026-01-18 19:53:49,43.8%,87671,12
2026-01-18 19:57:21,20.3%,40603,14
2026-01-18 20:02:47,28.4%,56920,5
2026-01-18 20:07:38,34.6%,69286,13
2026-01-18 20:09:21,35.7%,71407,13
2026-01-18 20:12:33,38.9%,77938,12
2026-01-18 20:19:50,44.4%,88832,13
2026-01-18 20:31:47,36.3%,72775,12
2026-01-19 12:27:21,39.5%,79033,12
2026-01-19 12:30:44,41.2%,82411,13
2026-01-19 12:36:04,46.5%,93098,14
2026-01-19 12:44:12,50.1%,100261,12
2026-01-19 12:50:11,54.9%,109844,13
2026-01-19 12:55:27,63.8%,127775,13
2026-01-19 12:58:51,67.0%,133993,13
2026-01-19 13:03:41,67.1%,134333,10
2026-01-19 13:08:52,70.9%,141810,11
2026-01-19 13:13:11,27.0%,54080,10
2026-01-19 17:30:15,17.2%,34513,10
2026-01-19 17:30:47,17.3%,34681,10
2026-01-19 17:35:41,0%,0,0
2026-01-19 17:36:22,21.3%,42660,10
2026-01-19 17:37:24,21.4%,42918,10
2026-01-19 17:39:02,21.5%,43158,10
2026-01-19 17:40:32,21.7%,43459,10
2026-01-19 17:42:23,21.9%,43888,10
2026-01-19 17:44:09,22.1%,44383,10
2026-01-19 17:45:35,22.3%,44777,10
2026-01-19 17:47:27,22.5%,45184,10
2026-01-19 17:52:51,25.8%,51603,10
2026-01-19 17:54:10,26.1%,52260,10
2026-01-19 17:56:24,0%,0,0
2026-01-19 17:59:39,32.2%,64501,10
2026-01-19 18:03:56,0%,0,0
2026-01-19 18:04:22,17.2%,34394,10
2026-01-19 18:05:28,16.8%,33671,10
2026-01-19 18:05:40,19.0%,38068,13
2026-01-19 18:08:06,17.8%,35700,12
2026-01-19 18:57:29,27.9%,55872,12
2026-01-19 18:58:06,27.5%,55188,9
2026-01-19 18:59:30,27.8%,55698,11
2026-01-19 19:01:10,27.8%,55746,9
2026-01-19 19:02:26,28.0%,56160,11
2026-01-19 19:03:02,28.0%,56163,9
2026-01-19 19:04:01,28.2%,56524,11
2026-01-19 19:04:36,28.2%,56568,9
2026-01-19 19:06:11,28.5%,57101,11
2026-01-19 19:07:16,28.5%,57041,9
2026-01-19 19:08:07,28.6%,57255,9
2026-01-19 19:10:53,29.0%,58156,11
2026-01-19 19:11:39,28.8%,57704,9
2026-01-19 19:12:35,29.2%,58458,11
2026-01-19 19:31:16,42.5%,84992,9
2026-01-19 19:41:00,49.0%,98120,11
2026-01-19 20:58:34,25.3%,50785,13
2026-01-19 21:12:48,34.7%,69455,10
2026-01-19 21:19:23,37.2%,74414,8
2026-01-19 21:35:01,39.4%,78792,9
2026-01-19 21:36:45,42.8%,85615,13
2026-01-19 21:40:13,52.5%,105077,13
2026-01-19 21:42:43,53.3%,106782,8
